date,bookings,day_of_week,month,year,is_weekend,is_summer,is_holiday_season
2022-01-01,108,Saturday,1,2022,1,0,0
2022-01-02,88,Sunday,1,2022,1,0,0
2022-01-03,85,Monday,1,2022,0,0,0
2022-01-04,92,Tuesday,1,2022,0,0,0
2022-01-05,78,Wednesday,1,2022,0,0,0
2022-01-06,78,Thursday,1,2022,0,0,0
2022-01-07,117,Friday,1,2022,1,0,0
2022-01-08,111,Saturday,1,2022,1,0,0
2022-01-09,86,Sunday,1,2022,1,0,0
2022-01-10,84,Monday,1,2022,0,0,0
2022-01-11,76,Tuesday,1,2022,0,0,0
2022-01-12,76,Wednesday,1,2022,0,0,0
2022-01-13,82,Thursday,1,2022,0,0,0
2022-01-14,90,Friday,1,2022,1,0,0
2022-01-15,91,Saturday,1,2022,1,0,0
2022-01-16,86,Sunday,1,2022,1,0,0
2022-01-17,72,Monday,1,2022,0,0,0
2022-01-18,83,Tuesday,1,2022,0,0,0
2022-01-19,73,Wednesday,1,2022,0,0,0
2022-01-20,69,Thursday,1,2022,0,0,0
2022-01-21,117,Friday,1,2022,1,0,0
2022-01-22,104,Saturday,1,2022,1,0,0
2022-01-23,91,Sunday,1,2022,1,0,0
2022-01-24,69,Monday,1,2022,0,0,0
2022-01-25,76,Tuesday,1,2022,0,0,0
2022-01-26,81,Wednesday,1,2022,0,0,0
2022-01-27,71,Thursday,1,2022,0,0,0
2022-01-28,109,Friday,1,2022,1,0,0
2022-01-29,101,Saturday,1,2022,1,0,0
2022-01-30,88,Sunday,1,2022,1,0,0
2022-01-31,76,Monday,1,2022,0,0,0
2022-02-01,96,Tuesday,2,2022,0,0,0
2022-02-02,81,Wednesday,2,2022,0,0,0
2022-02-03,72,Thursday,2,2022,0,0,0
2022-02-04,112,Friday,2,2022,1,0,0
2022-02-05,96,Saturday,2,2022,1,0,0
2022-02-06,93,Sunday,2,2022,1,0,0
2022-02-07,65,Monday,2,2022,0,0,0
2022-02-08,70,Tuesday,2,2022,0,0,0
2022-02-09,83,Wednesday,2,2022,0,0,0
2022-02-10,87,Thursday,2,2022,0,0,0
2022-02-11,108,Friday,2,2022,1,0,0
2022-02-12,105,Saturday,2,2022,1,0,0
2022-02-13,89,Sunday,2,2022,1,0,0
2022-02-14,69,Monday,2,2022,0,0,0
2022-02-15,76,Tuesday,2,2022,0,0,0
2022-02-16,78,Wednesday,2,2022,0,0,0
2022-02-17,90,Thursday,2,2022,0,0,0
2022-02-18,109,Friday,2,2022,1,0,0
2022-02-19,92,Saturday,2,2022,1,0,0
2022-02-20,94,Sunday,2,2022,1,0,0
2022-02-21,78,Monday,2,2022,0,0,0
2022-02-22,76,Tuesday,2,2022,0,0,0
2022-02-23,87,Wednesday,2,2022,0,0,0
2022-02-24,90,Thursday,2,2022,0,0,0
2022-02-25,114,Friday,2,2022,1,0,0
2022-02-26,100,Saturday,2,2022,1,0,0
2022-02-27,89,Sunday,2,2022,1,0,0
2022-02-28,84,Monday,2,2022,0,0,0
2022-03-01,90,Tuesday,3,2022,0,0,0
2022-03-02,78,Wednesday,3,2022,0,0,0
2022-03-03,80,Thursday,3,2022,0,0,0
2022-03-04,98,Friday,3,2022,1,0,0
2022-03-05,97,Saturday,3,2022,1,0,0
2022-03-06,99,Sunday,3,2022,1,0,0
2022-03-07,93,Monday,3,2022,0,0,0
2022-03-08,82,Tuesday,3,2022,0,0,0
2022-03-09,90,Wednesday,3,2022,0,0,0
2022-03-10,85,Thursday,3,2022,0,0,0
2022-03-11,102,Friday,3,2022,1,0,0
2022-03-12,110,Saturday,3,2022,1,0,0
2022-03-13,105,Sunday,3,2022,1,0,0
2022-03-14,82,Monday,3,2022,0,0,0
2022-03-15,95,Tuesday,3,2022,0,0,0
2022-03-16,62,Wednesday,3,2022,0,0,0
2022-03-17,89,Thursday,3,2022,0,0,0
2022-03-18,108,Friday,3,2022,1,0,0
2022-03-19,105,Saturday,3,2022,1,0,0
2022-03-20,93,Sunday,3,2022,1,0,0
2022-03-21,67,Monday,3,2022,0,0,0
2022-03-22,81,Tuesday,3,2022,0,0,0
2022-03-23,86,Wednesday,3,2022,0,0,0
2022-03-24,95,Thursday,3,2022,0,0,0
2022-03-25,104,Friday,3,2022,1,0,0
2022-03-26,101,Saturday,3,2022,1,0,0
2022-03-27,89,Sunday,3,2022,1,0,0
2022-03-28,90,Monday,3,2022,0,0,0
2022-03-29,86,Tuesday,3,2022,0,0,0
2022-03-30,79,Wednesday,3,2022,0,0,0
2022-03-31,87,Thursday,3,2022,0,0,0
2022-04-01,109,Friday,4,2022,1,0,0
2022-04-02,116,Saturday,4,2022,1,0,0
2022-04-03,88,Sunday,4,2022,1,0,0
2022-04-04,81,Monday,4,2022,0,0,0
2022-04-05,80,Tuesday,4,2022,0,0,0
2022-04-06,72,Wednesday,4,2022,0,0,0
2022-04-07,86,Thursday,4,2022,0,0,0
2022-04-08,110,Friday,4,2022,1,0,0
2022-04-09,108,Saturday,4,2022,1,0,0
2022-04-10,92,Sunday,4,2022,1,0,0
2022-04-11,72,Monday,4,2022,0,0,0
2022-04-12,80,Tuesday,4,2022,0,0,0
2022-04-13,81,Wednesday,4,2022,0,0,0
2022-04-14,77,Thursday,4,2022,0,0,0
2022-04-15,107,Friday,4,2022,1,0,0
